"r","L_centered","L_lo","L_hi","Label","Modality"
0,0,0,0,"Bx2","RNA"
10.1010101010101,28.5797368813877,-10.1010101010101,8.7524950720991,"Bx2","RNA"
20.2020202020202,62.8975545571328,-12.4086234174861,9.09173326769501,"Bx2","RNA"
30.3030303030303,93.4195579232932,-11.2131848178746,10.3780883370361,"Bx2","RNA"
40.4040404040404,125.968143153341,-9.23045326590394,7.90575574271087,"Bx2","RNA"
50.5050505050505,152.196599672383,-8.53632441294218,9.31453386363158,"Bx2","RNA"
60.6060606060606,176.021103292708,-9.97821551490405,10.8377002067012,"Bx2","RNA"
70.7070707070707,203.542509936391,-8.76407851779837,9.60176987414489,"Bx2","RNA"
80.8080808080808,226.21083031683,-7.94097548901095,7.59239298061293,"Bx2","RNA"
90.9090909090909,249.951143124865,-8.68680847144145,7.0199055404322,"Bx2","RNA"
101.010101010101,273.490260882544,-6.63176595319634,7.60751393295779,"Bx2","RNA"
111.111111111111,293.827298156197,-8.30629230912186,8.05796123317077,"Bx2","RNA"
121.212121212121,315.015126189086,-7.92425328384989,8.31681426681793,"Bx2","RNA"
131.313131313131,338.466627272128,-8.46170399097895,8.62854894093439,"Bx2","RNA"
141.414141414141,363.024806559394,-8.04764914297272,8.05802844369455,"Bx2","RNA"
151.515151515152,386.282998181682,-7.91712898790354,9.58055217384043,"Bx2","RNA"
161.616161616162,408.889999592278,-7.65034494535456,11.1103658891774,"Bx2","RNA"
171.717171717172,430.392273396219,-7.59584089333327,12.8922753382772,"Bx2","RNA"
181.818181818182,450.504827727889,-8.47249876249762,13.453905973258,"Bx2","RNA"
191.919191919192,471.399265090786,-10.1365375530323,12.1964089410243,"Bx2","RNA"
202.020202020202,490.826735192513,-7.81681891122085,11.8934484271806,"Bx2","RNA"
212.121212121212,509.333482984721,-8.58800177279173,10.1376486675546,"Bx2","RNA"
222.222222222222,527.579362883017,-8.76803815872049,9.56592182673231,"Bx2","RNA"
232.323232323232,545.106021051984,-6.93121600717765,10.4277399339688,"Bx2","RNA"
242.424242424242,560.755595606633,-6.8574275544199,11.4978925732036,"Bx2","RNA"
252.525252525253,577.969683284039,-7.90800728048291,11.4339268777282,"Bx2","RNA"
262.626262626263,594.410291208526,-7.43524868774352,11.7599079741668,"Bx2","RNA"
272.727272727273,611.196889114958,-7.13164703903323,11.1219568046544,"Bx2","RNA"
282.828282828283,627.305939850821,-8.52500103837161,10.2606932177619,"Bx2","RNA"
292.929292929293,643.201047788691,-9.8361349634659,11.83260293456,"Bx2","RNA"
